ID,Latitude,Longitude,Date,MODIS_Tile,MCD15A3H_061_Line_Y_500m,MCD15A3H_061_Sample_X_500m,MCD15A3H_061_FparStdDev_500m,MCD15A3H_061_Fpar_500m,MCD15A3H_061_LaiStdDev_500m,MCD15A3H_061_Lai_500m,MCD15A3H_061_FparExtra_QC,MCD15A3H_061_FparLai_QC,MCD15A3H_061_FparExtra_QC_bitmask,MCD15A3H_061_FparExtra_QC_LandSea_Pass-Thru,MCD15A3H_061_FparExtra_QC_LandSea_Pass-Thru_Description,MCD15A3H_061_FparExtra_QC_Snow_Ice,MCD15A3H_061_FparExtra_QC_Snow_Ice_Description,MCD15A3H_061_FparExtra_QC_Aerosol,MCD15A3H_061_FparExtra_QC_Aerosol_Description,MCD15A3H_061_FparExtra_QC_Cirrus,MCD15A3H_061_FparExtra_QC_Cirrus_Description,MCD15A3H_061_FparExtra_QC_Internal_CloudMask,MCD15A3H_061_FparExtra_QC_Internal_CloudMask_Description,MCD15A3H_061_FparExtra_QC_Cloud_Shadow,MCD15A3H_061_FparExtra_QC_Cloud_Shadow_Description,MCD15A3H_061_FparExtra_QC_SCF_Biome_Mask,MCD15A3H_061_FparExtra_QC_SCF_Biome_Mask_Description,MCD15A3H_061_FparLai_QC_bitmask,MCD15A3H_061_FparLai_QC_MODLAND,MCD15A3H_061_FparLai_QC_MODLAND_Description,MCD15A3H_061_FparLai_QC_Sensor,MCD15A3H_061_FparLai_QC_Sensor_Description,MCD15A3H_061_FparLai_QC_DeadDetector,MCD15A3H_061_FparLai_QC_DeadDetector_Description,MCD15A3H_061_FparLai_QC_CloudState,MCD15A3H_061_FparLai_QC_CloudState_Description,MCD15A3H_061_FparLai_QC_SCF_QC,MCD15A3H_061_FparLai_QC_SCF_QC_Description
WalkerBranch,35.957378,-84.279251,2002-08-17,h11v05,970.0,427.0,0.07,0.63,0.4,1.9,48.0,18.0,0b00110000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b1,Cirrus was detected,0b1,Clouds were detected,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00010010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present in pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
WalkerBranch,35.957378,-84.279251,2002-08-21,h11v05,970.0,427.0,0.04,0.91,1.0,5.6,1.0,34.0,0b00000001,0b01,"1 SHORE AggrQC (3,5) values {000, 010, 100}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00100010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b001,"Main (RT) method used with saturation. Good, very usable"
WalkerBranch,35.957378,-84.279251,2002-08-25,h11v05,970.0,427.0,0.08,0.75,0.7,2.8,33.0,2.0,0b00100001,0b01,"1 SHORE AggrQC (3,5) values {000, 010, 100}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b1,Clouds were detected,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00000010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
WalkerBranch,35.957378,-84.279251,2002-08-29,h11v05,970.0,427.0,0.08,0.58,0.4,1.6,33.0,10.0,0b00100001,0b01,"1 SHORE AggrQC (3,5) values {000, 010, 100}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b1,Clouds were detected,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00001010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
WalkerBranch,35.957378,-84.279251,2002-09-02,h11v05,970.0,427.0,0.01,0.93,0.6,6.1,1.0,32.0,0b00000001,0b01,"1 SHORE AggrQC (3,5) values {000, 010, 100}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00100000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b001,"Main (RT) method used with saturation. Good, very usable"
WalkerBranch,35.957378,-84.279251,2002-09-06,h11v05,970.0,427.0,0.01,0.93,0.4,6.4,1.0,32.0,0b00000001,0b01,"1 SHORE AggrQC (3,5) values {000, 010, 100}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00100000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b001,"Main (RT) method used with saturation. Good, very usable"
WalkerBranch,35.957378,-84.279251,2002-09-10,h11v05,970.0,427.0,0.07,0.87,1.4,4.7,1.0,34.0,0b00000001,0b01,"1 SHORE AggrQC (3,5) values {000, 010, 100}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00100010,0b0,Good quality (main algorithm with or without saturation),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b001,"Main (RT) method used with saturation. Good, very usable"
WalkerBranch,35.957378,-84.279251,2002-09-14,h11v05,970.0,427.0,0.09,0.71,0.6,2.6,33.0,0.0,0b00100001,0b01,"1 SHORE AggrQC (3,5) values {000, 010, 100}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b1,Clouds were detected,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
WalkerBranch,35.957378,-84.279251,2002-09-18,h11v05,970.0,427.0,248.0,0.46,248.0,1.2,33.0,99.0,0b00100001,0b01,"1 SHORE AggrQC (3,5) values {000, 010, 100}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b1,Clouds were detected,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b01100011,0b1,Other Quality (back-up algorithm or fill values),0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
WalkerBranch,35.957378,-84.279251,2002-09-22,h11v05,970.0,427.0,0.06,0.73,0.5,2.8,1.0,0.0,0b00000001,0b01,"1 SHORE AggrQC (3,5) values {000, 010, 100}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b0,"Biome outside interval <1,4>",0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
